# Selected-term contributions only
# columns: elem R lambda1 lambda2 m A_lambda1_lambda2_m angular_factor contribution
   1     1.0300000000E+00     0     0     0     4.5061787010E+00     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     0     1     0    -2.3378563958E-17     0.0000000000E+00    -0.0000000000E+00
   1     1.0300000000E+00     0     2     0     8.7862742917E-01     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     0     3     0    -5.5459834179E-16     0.0000000000E+00    -0.0000000000E+00
   1     1.0300000000E+00     0     4     0    -5.8125533183E-01     0.0000000000E+00    -0.0000000000E+00
   1     1.0300000000E+00     1     0     0    -4.4563559866E-15     0.0000000000E+00    -0.0000000000E+00
   1     1.0300000000E+00     1     1     0     1.4428264643E-01     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     1     1     1    -9.7499541466E-02    -0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     1     2     0     5.5045252783E-16     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     1     2     1    -1.2527946290E-15    -0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     1     3     0    -4.7596081279E-02     0.0000000000E+00    -0.0000000000E+00
   1     1.0300000000E+00     1     3     1    -1.4187932664E-01    -0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     1     4     0     4.0828756266E-16     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     1     4     1     1.7475359473E-15    -0.0000000000E+00    -0.0000000000E+00
   1     1.0300000000E+00     2     0     0     8.7862742917E-01     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     2     1     0     9.5139049122E-16     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     2     1     1     2.4063626532E-16    -0.0000000000E+00    -0.0000000000E+00
   1     1.0300000000E+00     2     2     0     1.6188055102E-01     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     2     2     1    -2.4398530328E+00    -3.5254505048E-02     8.6015811061E-02
   1     1.0300000000E+00     2     2     2     6.6180774945E-01     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     2     3     0    -1.8207599576E-15     0.0000000000E+00    -0.0000000000E+00
   1     1.0300000000E+00     2     3     1    -6.3643867531E-16    -0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     2     3     2     6.3335345866E-16     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     2     4     0    -2.3089066625E-01     0.0000000000E+00    -0.0000000000E+00
   1     1.0300000000E+00     2     4     1    -4.7457612173E-01    -2.2243095826E-02     1.0556042152E-02
   1     1.0300000000E+00     2     4     2     9.2868811498E-01     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     3     0     0     6.9863094939E-16     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     3     1     0    -4.7596081279E-02     0.0000000000E+00    -0.0000000000E+00
   1     1.0300000000E+00     3     1     1    -1.4187932664E-01    -0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     3     2     0     6.1370760053E-16     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     3     2     1    -2.2719864516E-15    -0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     3     2     2    -2.1839097983E-15     0.0000000000E+00    -0.0000000000E+00
   1     1.0300000000E+00     3     3     0     1.5778775568E-02     0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     3     3     1    -2.0677025309E-01    -0.0000000000E+00     0.0000000000E+00
   1     1.0300000000E+00     3     3     2     2.1455293811E-01     0.0000000000E+00     0.0000000000E+00
